ID_Group,Size,Open,Treatment,BuildingTime,Status
G_1/11/2017 12:39:52 PM,1,0,Isolated,10,
G_1/12/2017 11:07:17 AM,2,0,Diachronic,30,
G_1/12/2017 12:38:12 PM,1,0,Isolated,100,
G_1/12/2017 2:30:09 PM,2,0,Synchronic,30,
G_1/20/2017 9:01:24 AM,1,0,Isolated,2,
G_1/20/2017 9:49:04 AM,1,0,Isolated,2,
G_1/25/2017 11:35:42 AM,1,0,Isolated,4,
G_1/25/2017 11:43:27 AM,1,0,Isolated,2,
G_1/25/2017 11:47:12 AM,1,0,Isolated,2,
G_1/25/2017 12:57:19 PM,2,0,Synchronic,25,E
G_1/25/2017 12:59:48 PM,2,0,Diachronic,25,E
G_1/25/2017 1:32:16 PM,2,0,Synchronic,25,E
G_1/25/2017 1:34:29 PM,2,0,Diachronic,25,E
G_1/25/2017 2:19:50 PM,1,0,Isolated,50,E
G_1/25/2017 2:24:19 PM,1,0,Isolated,50,E
G_1/25/2017 2:25:17 PM,1,0,Isolated,50,E
G_1/25/2017 2:27:30 PM,1,0,Isolated,50,E
G_1/27/2017 12:11:03 PM,1,0,Isolated,4,
G_1/30/2017 10:53:06 AM,1,0,Isolated,2,
G_1/30/2017 11:28:47 AM,2,0,Synchronic,25,E
G_1/30/2017 11:29:40 AM,2,0,Diachronic,25,E
G_1/31/2017 10:50:47 AM,1,0,Isolated,50,E
G_1/31/2017 10:51:23 AM,1,0,Isolated,50,E
G_1/31/2017 10:51:59 AM,1,0,Isolated,50,E
G_1/31/2017 10:52:25 AM,1,0,Isolated,50,E
G_1/31/2017 12:00:47 PM,2,0,Synchronic,25,E
G_1/31/2017 12:01:26 PM,2,0,Diachronic,25,E
G_2/10/2017 12:17:24 PM,2,0,Diachronic,25,
G_2/10/2017 12:17:29 PM,2,0,Synchronic,25,
G_2/10/2017 2:19:05 PM,2,0,Synchronic,25,
G_2/10/2017 2:19:07 PM,2,0,Diachronic,25,
G_2/10/2017 3:11:25 PM,2,0,Synchronic,25,
G_2/10/2017 3:14:36 PM,2,0,Diachronic,25,
G_2/2/2017 11:12:09 AM,2,0,Synchronic,25,E
G_2/2/2017 11:17:22 AM,2,0,Diachronic,25,E
G_2/3/2017 12:01:54 PM,1,0,Isolated,50,E
G_2/3/2017 12:02:03 PM,1,0,Isolated,50,E
G_2/3/2017 12:02:14 PM,1,0,Isolated,50,E
G_2/3/2017 12:02:23 PM,1,0,Isolated,50,E
G_2/3/2017 2:23:54 PM,1,0,Isolated,50,E
G_2/3/2017 2:24:02 PM,1,0,Isolated,50,E
G_2/3/2017 2:24:14 PM,1,0,Isolated,50,E
G_2/3/2017 2:24:28 PM,1,0,Isolated,50,E
G_2/3/2017 3:28:52 PM,1,0,Isolated,50,E
G_2/3/2017 3:29:14 PM,1,0,Isolated,50,E
G_2/6/2017 11:00:05 AM,2,0,Synchronic,25,E
G_2/6/2017 11:37:04 AM,2,0,Diachronic,25,E
G_2/6/2017 12:12:51 PM,2,0,Diachronic,25,E
G_2/6/2017 12:13:14 PM,2,0,Synchronic,25,E
G_2/6/2017 1:29:12 PM,2,0,Synchronic,25,E
G_2/6/2017 2:19:12 PM,2,0,Synchronic,25,E
G_2/7/2017 11:12:16 AM,2,0,Synchronic,25,E
G_2/7/2017 11:12:50 AM,2,0,Diachronic,25,E
G_2/8/2017 10:46:03 AM,1,0,Isolated,4,
G_2/9/2017 11:15:11 AM,2,0,Synchronic,25,
